spec,loc,num,hue_mean,redness_purity,brightness_mean,brown_dominance,color_cov,red_intensity,red_coverage,eye_cloudiness,shine_coverage,shine_intensity,body_color_b,gill_score,eye_score,body_score,rule_score,rule_quality
BANG,BWM,1,4.97,180.28,88.26,0.0612,0.2379,0.0819,0,0.9035,0.0535,242.09,-10.5018,0.82,0.58,0.68,0.72,high
BANG,BWM,2,7.67,151.72,96.54,0.293,0.2543,0.0066,0,1.0628,0.0205,238.88,-12.9076,0.65,0.55,0.54,0.6,mid
BANG,BWM,3,7.35,179.55,88.44,0.1353,0.2459,0.0282,0.0001,1.0096,0.0101,234.24,-10.3087,0.76,0.55,0.44,0.63,mid
BANG,BWM,4,5.79,159.59,95.02,0.0926,0.2372,-0.0396,0,1.1015,0.0128,236.43,-12.3647,0.76,0.57,0.48,0.65,mid
BANG,BWM,5,1.26,157.24,76.01,0.0199,0.2704,-0.0254,0,0.932,0.021,242.67,-8.9893,0.82,0.67,0.57,0.72,high
BANG,BWM,6,7.93,166.91,102.48,0.2268,0.1959,0.2626,0.0056,0.7378,0.0325,236.17,-10.9401,0.72,0.25,0.53,0.54,mid
BANG,BWM,7,7.34,167.47,82.74,0.3162,0.27,0.6023,0.0224,0.5855,0.0172,238.54,-9.7615,0.67,0.35,0.51,0.54,mid
BANG,BWM,8,7.06,166.68,69,0.1803,0.265,-0.0045,0,1.0669,0.0085,227.97,-10.1041,0.69,0.56,0.33,0.58,mid
BANG,BWM,9,4,178.49,79.61,0.0569,0.1805,-0.0861,0,0.9586,0.0292,232.78,-10.555,0.84,0.71,0.46,0.72,high
BANG,BWM,10,6.02,168.91,130.12,0.0251,0.2257,0.096,0,0.987,0.0255,240.49,-8.3952,0.8,0.51,0.53,0.66,mid
BANG,BWM,11,,,,,,,,,,,,,,,,none
BANG,BWM,12,178.81,171.5,102.8,0.0014,0.2663,-0.0132,0,0.8258,0.0635,233.91,-3.8033,0.88,0.73,0.42,0.74,high
BANG,BWM,13,177.62,207.63,87.72,0.0004,0.19,0.0482,0,0.9213,0.0282,233.12,-2.5836,0.92,0.6,0.28,0.7,mid
BANG,BWM,14,1.77,146.12,116.8,0.0291,0.2958,-0.0045,0,0.7542,0.0917,235.01,1.1772,0.8,0.77,0.39,0.71,high
BANG,BWM,15,178.22,174.25,92.59,0.001,0.251,-0.022,0,0.9317,0.0816,235.17,0.1589,0.86,0.67,0.39,0.71,high
BANG,BWM,16,1.64,166.27,93.59,0.0042,0.2827,-0.0344,0,0.6105,0.0813,238.34,-8.8247,0.86,0.9,0.65,0.83,high
BANG,BWM,17,178.86,173.06,114.02,0.0025,0.3109,-0.0048,0,0.8785,0.0532,230.75,-0.7885,0.87,0.69,0.27,0.7,mid
BANG,BWM,18,179.03,169.78,81.32,0.0017,0.1943,0.0056,0,0.7903,0.0802,236,0.6071,0.87,0.74,0.39,0.74,high
BANG,BWM,19,2.61,152.55,103.44,0.0238,0.2504,0.0428,0,0.8656,0.0694,234.08,2.9801,0.82,0.65,0.29,0.66,mid
BANG,BWM,20,179.4,159.89,143.24,0.0014,0.3208,-0.043,0,0.8996,0.0538,229.33,-0.929,0.85,0.71,0.25,0.69,mid
BANG,BWM,21,1.1,154.9,113.62,0.0375,0.2994,0.0159,0,0.7413,0.0801,233.07,1.6843,0.83,0.76,0.32,0.71,high
BANG,BWM,22,9.35,167.35,107.63,0.5881,0.3456,0.1005,0,0.9032,0.0281,225.73,0.2048,0.57,0.56,0.1,0.47,mid
BANG,BWM,23,4.2,176.57,95.42,0.0667,0.2893,0.0315,0.0001,0.9612,0.0184,224.2,-2.568,0.82,0.58,0.14,0.61,mid
BANG,BWM,24,9.18,168.85,112.74,0.5217,0.3111,0.0319,0,0.8306,0.0226,222.9,-1.7355,0.6,0.68,0.13,0.53,mid
BANG,BWM,25,6.82,187.92,88.28,0.2981,0.3626,0.0395,0,0.8024,0.0331,226.12,-2.2828,0.72,0.69,0.17,0.6,mid
BANG,BWM,26,7.61,154.26,77.78,0.1604,0.2501,0.0103,0,0.8617,0.0178,218.63,-0.137,0.67,0.68,0.08,0.56,mid
BANG,BWM,27,5.01,158.32,99.54,0.0913,0.2334,0.0356,0,0.9324,0.0196,223.15,-2.0217,0.78,0.61,0.13,0.6,mid
BANG,BWM,28,5.53,190.18,79.6,0.0183,0.1575,0.1361,0,1.0589,0.0547,237.15,-2.5606,0.85,0.42,0.42,0.63,mid
BANG,BWM,29,5.71,158.47,92.77,0.0711,0.2085,0.0249,0,1.0452,0.0378,227.21,-2.6036,0.77,0.54,0.21,0.59,mid
BANG,BWM,30,5.21,178.47,86.59,0.0478,0.2288,0.0587,0,1.0545,0.0493,232.05,-2.9264,0.82,0.5,0.33,0.63,mid
BANG,BWM,31,7.27,163.7,94.41,0.2151,0.2433,0.072,0,1.094,0.0688,234.08,-2.2459,0.71,0.46,0.4,0.57,mid
