spec,loc,num,red_intensity,red_coverage,eye_cloudiness,shine_coverage,shine_intensity,body_color_b
BANG,BWM,1,0.0819,0,0.9035,0.0626,235.61,-10.5018
BANG,BWM,2,0.0066,0,1.0628,0.0309,224.64,-12.9076
BANG,BWM,3,0.0282,0.0001,1.0096,0.0197,216.4,-10.3087
BANG,BWM,4,-0.0396,0,1.1015,0.0206,220.82,-12.3647
BANG,BWM,5,-0.0254,0,0.932,0.0273,232.74,-8.9893
BANG,BWM,6,0.2626,0.0056,0.7378,0.0504,222.19,-10.9401
BANG,BWM,7,0.6023,0.0224,0.5855,0.0325,218.57,-9.7615
BANG,BWM,8,-0.0045,0,1.0669,0.0173,209.82,-10.1041
BANG,BWM,9,-0.0861,0,0.9586,0.0519,216.83,-10.555
BANG,BWM,10,0.096,0,0.987,0.0404,224.14,-8.3952
BANG,BWM,12,-0.0132,0,0.8258,0.0869,224.93,-3.8033
BANG,BWM,13,0.0482,0,0.9213,0.0521,216.14,-2.5836
BANG,BWM,14,-0.0045,0,0.7542,0.1324,224.27,1.1772
BANG,BWM,15,-0.022,0,0.9317,0.1201,223.16,0.1589
BANG,BWM,16,-0.0344,0,0.6105,0.0937,233.25,-8.8247
BANG,BWM,17,-0.0048,0,0.8785,0.0715,221.78,-0.7885
BANG,BWM,18,0.0056,0,0.7903,0.1074,227.34,0.6071
BANG,BWM,19,0.0428,0,0.8656,0.0969,223.62,2.9801
BANG,BWM,20,-0.043,0,0.8996,0.0761,218.79,-0.929
BANG,BWM,21,0.0159,0,0.7413,0.1102,222.99,1.6843
BANG,BWM,22,0.1005,0,0.9032,0.0662,209.62,0.2048
BANG,BWM,23,0.0315,0.0001,0.9612,0.0407,209.67,-2.568
BANG,BWM,24,0.0319,0,0.8306,0.053,207.94,-1.7355
BANG,BWM,25,0.0395,0,0.8024,0.0726,210.62,-2.2828
BANG,BWM,26,0.0103,0,0.8617,0.0326,207.67,-0.137
BANG,BWM,27,0.0356,0,0.9324,0.0383,208.37,-2.0217
BANG,BWM,28,0.1361,0,1.0589,0.0604,233.58,-2.5606
BANG,BWM,29,0.0249,0,1.0452,0.0527,219.1,-2.6036
BANG,BWM,30,0.0587,0,1.0545,0.0665,223.18,-2.9264
BANG,BWM,31,0.072,0,1.094,0.088,226.46,-2.2459
BANG,CFM,1,0.0587,0,0.8967,0.1349,225.12,0.6336
BANG,CFM,2,0.078,0,0.9126,0.1267,222.12,1.5332
BANG,CFM,3,0.0193,0,0.8614,0.0668,231.54,-1.5876
BANG,CFM,4,0.0906,0.0001,0.6638,0.1815,233.96,-0.2233
BANG,CFM,5,0.0539,0,0.9198,0.057,220.7,-5.7636
BANG,CFM,6,0.2093,0.0047,0.7521,0.0488,217.02,-6.7121
