spec,loc,num,red_intensity,red_coverage,eye_cloudiness,shine_coverage,shine_intensity,body_color_b
BANG,BWM,01,0.0819,0.0,0.9035,0.0535,242.09,-10.5018
BANG,BWM,02,0.0066,0.0,1.0628,0.0205,238.88,-12.9076
BANG,BWM,03,0.0282,0.0001,1.0096,0.0101,234.24,-10.3087
BANG,BWM,04,-0.0396,0.0,1.1015,0.0128,236.43,-12.3647
BANG,BWM,05,-0.0254,0.0,0.932,0.021,242.67,-8.9893
BANG,BWM,06,0.2626,0.0056,0.7378,0.0325,236.17,-10.9401
BANG,BWM,07,0.6023,0.0224,0.5855,0.0172,238.54,-9.7615
BANG,BWM,08,-0.0045,0.0,1.0669,0.0085,227.97,-10.1041
BANG,BWM,09,-0.0861,0.0,0.9586,0.0292,232.78,-10.555
BANG,BWM,10,0.096,0.0,0.987,0.0255,240.49,-8.3952
BANG,BWM,12,-0.0132,0.0,0.8258,0.0635,233.91,-3.8033
BANG,BWM,13,0.0482,0.0,0.9213,0.0282,233.12,-2.5836
BANG,BWM,14,-0.0045,0.0,0.7542,0.0917,235.01,1.1772
BANG,BWM,15,-0.022,0.0,0.9317,0.0816,235.17,0.1589
BANG,BWM,16,-0.0344,0.0,0.6105,0.0813,238.34,-8.8247
BANG,BWM,17,-0.0048,0.0,0.8785,0.0532,230.75,-0.7885
BANG,BWM,18,0.0056,0.0,0.7903,0.0802,236.0,0.6071
BANG,BWM,19,0.0428,0.0,0.8656,0.0694,234.08,2.9801
BANG,BWM,20,-0.043,0.0,0.8996,0.0538,229.33,-0.929
BANG,BWM,21,0.0159,0.0,0.7413,0.0801,233.07,1.6843
BANG,BWM,22,0.1005,0.0,0.9032,0.0281,225.73,0.2048
BANG,BWM,23,0.0315,0.0001,0.9612,0.0184,224.2,-2.568
BANG,BWM,24,0.0319,0.0,0.8306,0.0226,222.9,-1.7355
BANG,BWM,25,0.0395,0.0,0.8024,0.0331,226.12,-2.2828
BANG,BWM,26,0.0103,0.0,0.8617,0.0178,218.63,-0.137
BANG,BWM,27,0.0356,0.0,0.9324,0.0196,223.15,-2.0217
BANG,BWM,28,0.1361,0.0,1.0589,0.0547,237.15,-2.5606
BANG,BWM,29,0.0249,0.0,1.0452,0.0378,227.21,-2.6036
BANG,BWM,30,0.0587,0.0,1.0545,0.0493,232.05,-2.9264
BANG,BWM,31,0.072,0.0,1.094,0.0688,234.08,-2.2459
BANG,CFM,01,0.0587,0.0,0.8967,0.1006,234.8,0.6336
BANG,CFM,02,0.078,0.0,0.9126,0.0896,232.94,1.5332
BANG,CFM,03,0.0193,0.0,0.8614,0.0582,237.02,-1.5876
BANG,CFM,04,0.0906,0.0001,0.6638,0.1545,240.16,-0.2233
BANG,CFM,05,0.0539,0.0,0.9198,0.0403,231.08,-5.7636
BANG,CFM,06,0.2093,0.0047,0.7521,0.0309,229.72,-6.7121
BANG,CFM,07,0.0663,0.0,0.8832,0.0802,236.34,-5.8004
BANG,CFM,08,0.0402,0.0001,0.8786,0.0805,236.09,-6.5654
BANG,CFM,09,0.1049,0.0,0.8186,0.1029,240.35,-4.8172
BANG,CFM,10,0.4123,0.004,0.7007,0.0956,235.33,0.7699
BANG,CFM,11,0.1759,0.0009,0.9831,0.0606,235.07,2.4556
BANG,CFM,12,0.1761,0.0,0.8358,0.0891,234.29,2.5837
