shine_coverage,shine_intensity,body_color_b,body_L,lbp_texture_score,canny_edge_density,mean_saturation,hue_mean,redness_purity,brown_dominance,quality
0.021,238.88,-12.908,57.13,629,0.15,42.15,7.67,151.72,0.293,1
0.01,234.24,-10.309,55.13,481,0.173,38.22,7.35,179.55,0.135,1
0.033,236.17,-10.94,59.49,845,0.101,38.79,7.93,166.91,0.227,1
0.009,227.97,-10.104,52.98,1039,0.076,28.87,7.06,166.68,0.18,1
0.064,233.91,-3.803,65.89,578,0.085,33.83,178.81,171.5,0.001,1
0.092,235.01,1.177,68.62,175,0.118,31.3,1.77,146.12,0.029,1
0.08,236,0.607,64.06,331,0.087,50.76,179.03,169.78,0.002,1
0.069,234.08,2.98,68.86,816,0.064,48.76,2.61,152.55,0.024,1
0.054,229.33,-0.929,67.98,277,0.053,35.11,179.4,159.89,0.001,1
0.018,224.2,-2.568,62.54,733,0.099,21.22,4.2,176.57,0.067,1
0.02,223.15,-2.022,65.83,1751,0.069,15.53,5.01,158.32,0.091,1
0.049,232.05,-2.926,67.24,480,0.078,20.55,5.21,178.47,0.048,1
0.101,234.8,0.634,59.05,1412,0.091,35.49,179.95,111.33,0,1
0.058,237.02,-1.588,62.37,1397,0.079,34.36,0.17,126.1,0,1
0.04,231.08,-5.764,56.53,1051,0.144,42.8,1.86,144.35,0.147,1
0.031,229.72,-6.712,59.73,1739,0.082,34.97,3.41,144.59,0.029,1
0.08,236.34,-5.8,59.5,839,0.09,24.85,5.07,158.73,0.012,1
0.096,235.33,0.77,55.2,1401,0.048,39.88,2.82,158.39,0.023,1
0.061,235.07,2.456,57.32,1402,0.051,25.93,1.59,136.42,0.024,1
0.089,234.29,2.584,61.49,1508,0.053,17.17,1.26,153.57,0.023,1
0.091,236.11,2.386,60.52,1006,0.053,26.64,2.09,144.73,0.006,1
0.177,237.06,0.808,60.67,1318,0.077,28.93,2.32,148.71,0.109,1
0.007,232.03,0.155,42.91,1318,0.066,34.08,2.59,180.77,0,1
0.004,231.01,1.063,61.45,335,0.043,30.74,179.42,163.56,0.014,1
0.006,230.76,-1.307,58.62,591,0.09,35.41,179.06,164.83,0.002,1
0.031,231.45,-1.948,59.54,972,0.06,38.01,4.61,159.21,0.004,1
0.028,231.04,1.365,67.33,975,0.055,38.33,179.45,168.82,0.002,1
0.069,229.67,0.749,69.42,958,0.079,29.44,179.87,147.99,0.004,1
0.026,232.38,1.712,62.86,1483,0.086,29,0.07,148.76,0.001,1
0.07,238.62,-4.299,63.47,275,0.074,36.8,175.7,145.58,0.001,1
0.065,236.91,-5.15,63.86,369,0.081,34.16,179.77,134.43,0.01,1
0.077,238.89,-2.359,66.35,1448,0.081,29.19,177.95,128.86,0,1
0.064,234.03,-3.089,71.2,548,0.065,34.15,4.66,133.79,0.005,1
0.044,234.62,6.697,64.57,503,0.115,52.4,177.64,129.75,0,1
0.008,232.59,7.114,61.42,489,0.091,43.58,179.94,141.93,0.05,1
0.028,231.62,12.662,67.09,357,0.096,35.01,2.01,146.88,0,1
0.043,229.21,0.403,69.89,416,0.082,34.11,178.86,153.5,0.006,1
0.011,222.52,4.839,73.63,1428,0.052,28.46,178.24,156.49,0,1
0.02,234.62,2.298,69.93,538,0.063,37.06,178.33,157.52,0,1
0.076,236.23,8.569,72.62,765,0.089,41.23,1.13,143.19,0.127,1
0.087,236.5,6.926,76.1,405,0.065,36.23,178.25,151.41,0,1
0.078,240.4,3.727,72.03,418,0.092,42.01,179.89,151.66,0.025,1
0.091,237.24,7.085,73.54,490,0.077,47.97,179.14,132.88,0,1
0.047,236.94,2.098,71.27,300,0.069,29.71,179.45,166.4,0,1
0.022,229.88,4.83,69.78,616,0.067,44.66,179.18,189.06,0,1
0.001,237.48,-5.394,64.17,540,0.09,32.76,5.1,166.96,0.008,1
0.034,224.81,-7.352,68.06,546,0.089,44.52,0.75,156.53,0.02,1
0.045,225.52,-3.524,70.14,716,0.071,30.67,3.45,157.62,0,1
0.008,230.64,-4.026,58.38,474,0.096,45.62,179.53,163.36,0,1
0.012,226.03,0.726,58.8,672,0.077,44.89,1.34,176.28,0,1
0.005,223.44,0.496,57.7,813,0.094,35.94,179.23,176.75,0,1
0.048,226.05,0.156,69.18,295,0.08,39.1,0.67,147.54,0.023,1
0.002,232.29,-1.734,65.28,900,0.054,37.91,0.79,176.56,0,1
0.06,239,3.321,73.32,322,0.042,25.22,177.49,139.34,0,1
0.042,230.35,7.028,74.34,1052,0.097,35,178.23,158.79,0,1
0.029,243.64,5.627,77.91,704,0.066,32.61,0.09,153.9,0.007,1
0.043,241.95,5.707,80.94,1118,0.091,28.13,0.18,115.56,0,1
0.114,235.9,-2.036,68.84,1264,0.121,14.24,6.18,179.56,0.397,1
0.138,237.32,-1.923,66.82,658,0.112,18.25,6.82,156.79,0.089,1
0.144,236.38,-5.515,70.3,1280,0.091,14.66,5.98,156.4,0.178,1
0.109,234.89,1.222,67.94,282,0.098,27.93,179.08,143,0.062,1
0.114,235.71,2.255,69.7,401,0.116,25.2,177.13,130.91,0.001,1
0.135,237.37,-0.869,70.47,900,0.105,16.19,7.18,82.94,0.126,1
0.091,238.73,-0.476,65.81,158,0.103,26.54,1.73,143.75,0.088,1
0.097,235.96,0.092,63.6,443,0.112,28.29,0.58,149.74,0.01,1
0.151,239.1,-2.819,59.46,1126,0.087,30.27,3.62,116.67,0.281,1
0.139,238.38,-3.394,66.49,1213,0.095,18.53,3.05,110.18,0.138,1
0.126,240.19,-5.046,63.65,1115,0.071,23.61,7.07,117.47,0.256,1
0.139,240.03,-2.343,63.37,1299,0.114,25.02,5.36,117.25,0.165,1
0.114,242.96,-0.958,62.02,694,0.095,30.23,5.68,117.48,0.064,1
0.042,232.6,-2.058,49.9,1479,0.102,22.27,6.23,146.51,0.088,1
0.142,240.45,-2.02,59.97,1495,0.061,24.91,6.24,144.09,0.275,1
0.092,241.11,-2.253,55.04,612,0.087,23.95,6.25,154.09,0.03,1
0.119,242.4,-1.48,62.66,1429,0.117,34.59,6.66,147.35,0.185,1
0.108,238.95,-2.578,61.44,1380,0.101,16.78,8.41,169.17,0.379,1
0.027,238.78,-8.127,60.27,1267,0.091,24.99,8.51,169.14,0.342,1
0.059,237.82,-5.488,61.94,997,0.101,23.91,3.12,127.78,0.047,1
0.05,233.69,-6.893,61.5,1704,0.096,17.28,7.39,145.64,0.187,1
0.098,243.6,-3.246,59.96,1123,0.087,33.3,7.06,135.61,0.268,1
0.101,241.98,-1.434,59.67,1143,0.06,22.76,5.2,138.83,0.018,1
0.014,239.97,-10.991,67.99,295,0.086,40.61,6.91,188.69,0.128,1
0.081,238.34,-4.272,61.78,479,0.094,39.18,7,193.81,0.072,1
0.051,236.36,-4.619,59.59,362,0.114,29.98,8.24,183.01,0.294,1
0.029,245.37,-5.439,58.09,194,0.089,41.41,4.41,166.87,0.021,1
0.021,240.63,-4.985,54.9,724,0.083,33.72,4.99,177.06,0.09,1
0.04,230.08,-6.3,60.41,445,0.085,25.28,4.41,166.06,0.04,1
0.028,236.45,-6.245,56,576,0.083,24.4,4.48,180.72,0.054,1
0.058,225.45,-4.194,52.88,214,0.092,35.74,4.42,167.46,0.048,1
0.025,229.02,-8.944,65.1,1322,0.093,28.52,9.73,176.08,0.29,1
0.005,229.57,-6.907,62.05,1024,0.097,20.75,5.8,196.45,0.131,1
0.039,237.58,-6.229,58.07,1505,0.104,38.44,7.59,206.33,0.074,1
0.047,221.25,-4.15,67.28,552,0.085,28.94,0.24,170.97,0.008,1
0.052,232.23,-2.775,61.24,1162,0.104,22.83,7.55,173.92,0.327,1
0.032,227.48,-4.223,64.77,1601,0.102,16.73,3.53,160.46,0.09,1
0.069,232.63,-2.535,66.46,327,0.137,32.56,5.57,174.65,0.218,1
0.039,228.42,-4.649,66.5,591,0.121,19.4,2.62,158.51,0.095,1
0.052,227.5,0.137,65.38,197,0.102,28.94,0.71,158.32,0.002,1
0.086,230.81,4.965,48.75,97,0.083,21.18,171.92,152.42,0,1
0.013,237.76,10.511,69.07,74,0.07,70.38,177.95,180.62,0.07,1
0.087,234.58,-1.086,59.4,1341,0.066,53.04,2.64,139.95,0.097,1
0.033,230.32,-1.51,71.04,683,0.109,29.51,3.41,166.21,0.013,1
0.037,230.92,1.631,66.11,1506,0.096,38.85,178.55,131.73,0,1
0.052,232.43,0.927,68.59,1122,0.084,36.47,2.69,148.33,0.105,1
0.09,226.62,-1.946,69.2,804,0.094,33.19,4.98,154.46,0.159,1
0.075,230.52,3.972,66.2,1208,0.083,24.25,1.76,148.1,0.029,1
0.032,231.27,-1.147,63.9,1056,0.095,41.18,2.14,153.71,0.015,1
0.04,232.73,-0.132,68.45,81,0.078,38.55,1.41,131.58,0.019,1
0.009,245.32,0.636,72.99,537,0.084,24.14,4.14,167.41,0.196,1
0.03,231.04,-1.991,69.29,319,0.085,12.33,2.3,152.92,0.015,1
0.044,231.73,-0.404,74.22,992,0.08,30.51,3.34,147.39,0.076,1
0.058,233.3,-1.882,69.07,551,0.077,23.47,3.12,128.92,0.017,1
0.048,238.06,3.021,69.4,1416,0.117,49.31,1.82,130.24,0.034,1
0.036,230.74,0.502,59.75,414,0.12,19.36,2.33,139.1,0.015,1
0.067,230.04,3.389,69.72,101,0.077,17.62,1.25,170.72,0.001,1
0.076,235.56,-3.219,70.31,85,0.093,33.64,0.87,126.12,0.002,1
0.016,240.75,-1.892,66.09,1162,0.076,19.99,1.23,139.34,0.076,1
0.033,229.19,2.975,63.04,1375,0.129,19,2.91,147.72,0.043,1
0.062,233.96,4.604,60.74,180,0.145,32.46,7.18,152.59,0.137,1
0.065,231.15,2.564,59.32,455,0.103,29.69,4.9,173.32,0.064,1
0.034,229.39,2.746,59.06,475,0.114,48.74,2.37,157.72,0.008,1
0.076,235.26,2.918,62.72,388,0.077,34.88,7.93,182.55,0.04,1
0.039,231.46,-1.473,61.74,896,0.099,37.34,8.61,158.99,0.187,1
0.046,235.96,3.527,64.61,1169,0.1,45.89,5.41,169.82,0.086,1
0.006,240.62,-6.964,41.86,1200,0.102,54.38,178.75,177.64,0.002,1
0.008,229.79,-8.918,40.02,507,0.11,74.17,178.39,170.35,0,1
0.021,225.38,-10.814,44.57,520,0.095,57.25,1.27,161.91,0.063,1
0.006,238.28,-7.47,46.24,788,0.063,48.96,1.93,152.51,0.003,1
0.019,232.5,-3.505,38.74,697,0.127,45.85,179.25,159.79,0.026,1
0.013,229.66,-9.012,31.6,1096,0.095,66.67,177.66,167.79,0.001,1
0.002,223.78,-11.792,30.5,381,0.041,89.45,178.74,154.97,0.001,1
0.008,226.46,-5.931,41.31,880,0.054,51.57,0.3,151.35,0,1
0.044,217.42,-2.306,63.82,1219,0.109,39.21,178.4,134.19,0,1
0.062,225.26,-1.383,59.31,493,0.109,54,178.44,145.32,0.005,1
0.044,227.81,-2.062,61.13,1247,0.094,44.27,179.2,153.11,0.008,1
0.021,221.41,-2.248,52.5,1176,0.094,47.06,179.68,154.71,0.019,1
0.015,229.33,1.981,46.52,1841,0.088,29.71,1.45,147.85,0.037,1
0.049,223.27,-3.059,58.56,727,0.096,38.53,176.39,177.01,0.002,1
0.033,225.21,-0.713,62.57,1382,0.081,30.55,179.68,152.2,0,1
0.024,224.04,-1.54,59.13,361,0.061,26.48,178.57,133.51,0.004,1
0.018,222.18,-2.234,48.62,704,0.126,32.41,176.19,171.16,0.004,1
0.023,221.29,-4.196,48.4,373,0.094,49.3,179.6,139.79,0,1
0.02,233.51,1.831,39.65,725,0.094,37.67,179.12,173.06,0,1
0.014,234.06,-0.821,31.7,1461,0.099,32.34,1.24,182.52,0.087,1
0.013,231.79,1.595,38.9,1160,0.104,18.7,0.85,179.71,0.018,1
0.021,242.66,-0.559,42.16,1142,0.094,39.48,178.15,169.03,0,1
0.013,236.93,-0.118,42.99,1584,0.096,45.13,1.73,163.81,0,1
0.009,233.92,-1.658,26.13,359,0.047,35.61,178.69,166.36,0.001,1
0.015,244.15,-3.036,39.54,1123,0.092,53.05,178.86,171.83,0,1
0.01,233.27,1.806,25.89,315,0.095,76.96,0.97,186.82,0.011,1
