spec,loc,num,species,hue_mean,redness_purity,brightness_mean,brown_dominance,color_cov,red_intensity,red_coverage,eye_cloudiness,shine_coverage,shine_intensity,body_color_b,quality
CARP,NFP,2,1,179.31,182.48,135.26,0.0023,0.2323,0.0412,0,0.7568,0.1353,231.91,-1.6853,0
CARP,NFP,3,1,2.87,158.73,150.65,0.042,0.2905,0.023,0,0.4378,0.1036,238.35,-0.7633,0
BANG,NFP,20,0,0.21,164.32,78.59,0.0451,0.2733,-0.1721,0,0.8262,0.2208,242.25,-2.8471,0
BANG,NFP,15,0,1.25,164.13,74.7,0.0257,0.248,-0.0118,0,0.5995,0.1117,242.23,-4.1,0
BANG,BWM,16,0,1.64,166.27,93.59,0.0042,0.2827,-0.0344,0,0.6105,0.0813,238.34,-8.8247,0
BANG,NFP,7,0,179.32,191.58,50.08,0.0051,0.2046,0.0281,0,0.817,0.1386,241.86,-1.4337,0
BANG,NFP,11,0,178.11,170.97,61.09,0.001,0.1927,-0.0409,0,0.7064,0.1784,240.33,2.9389,0
BANG,NFP,26,0,179.37,167.54,113.36,0.0114,0.2503,-0.0322,0.0005,0.7928,0.1467,243.7,-3.9311,0
TILA,PWM,44,2,0,164.01,126.12,0.047,0.2418,0.0308,0,0.7882,0.0168,239.06,-3.5858,0
BANG,NFP,22,0,0.82,183.43,85.21,0.0316,0.2791,-0.0362,0.0017,0.7422,0.1706,242.5,-2.8293,0
BANG,PWM,41,0,2.04,167.31,63.37,0.0077,0.1888,-0.0181,0,0.7192,0.1166,236.63,-6.0935,0
TILA,CFM,51,2,179.11,182.99,90.95,0.0003,0.1476,0.1208,0.0044,0.6859,0.0198,239.21,1.7977,0
TILA,PWM,34,2,179.22,160.8,125.48,0.0008,0.1891,0.0173,0,1.1636,0.0433,232.17,-1.9751,0
TILA,PWM,63,2,0.93,174.71,127.95,0.0121,0.2214,0.0344,0,0.7877,0.016,236.12,1.2515,0
BANG,NFP,2,0,0.27,164.03,56.68,0.004,0.2608,0.0708,0,0.6212,0.1113,240.05,-0.5652,0
BANG,NFP,16,0,1.88,147.54,88.91,0.0899,0.3094,-0.1624,0,0.6087,0.1289,236.09,-4.2551,0
BANG,NFP,19,0,178.55,136.85,105.89,0.0108,0.2571,-0.1367,0,0.8406,0.1907,239.19,-0.6752,0
BANG,NFP,21,0,177.34,150.79,85.79,0.0004,0.2108,-0.0564,0,0.7969,0.1722,238.33,-0.9972,0
BANG,NFP,23,0,179.33,150.63,70.76,0.0238,0.2582,-0.03,0,0.7809,0.1519,241.18,-1.4497,0
TILA,CFM,47,2,178.85,162.01,105.61,0.0006,0.1766,0.0376,0.001,1.113,0.0155,245.12,-5.4488,0
TILA,CFM,48,2,177.89,159.55,109.71,0.0001,0.1738,0.0597,0.0003,0.7608,0.0091,240.59,-3.1094,0
TILA,NFP,1,2,0.58,140.1,128.74,0.0509,0.2588,-0.0283,0.0022,0.6104,0.0212,244.78,5.3632,0
TILA,NFP,16,2,4.33,210.47,59.34,0.0538,0.2206,0.0313,0.0003,0.9274,0.0182,244.31,3.3138,0
TILA,NFP,30,2,179.11,159.31,88.22,0.0002,0.2372,-0.028,0.0013,0.815,0.0122,243.64,3.5054,0
BANG,NFP,13,0,0.19,163.08,67.64,0.0153,0.2124,-0.1926,0.0011,0.9368,0.1679,237.53,-1.2695,0
CARP,NFP,1,1,176.9,148.86,105.92,0.0062,0.2604,0.1834,0.0007,0.8291,0.0956,241.02,-7.9182,0
CARP,NFP,6,1,0.91,152.22,118.62,0.0262,0.2712,0.0788,0,0.7225,0.0789,230.11,0.612,0
CARP,NFP,8,1,1.76,137.89,112.93,0.052,0.2415,0.0784,0,0.6077,0.048,231.34,-3.6461,0
BANG,CFM,9,0,178.79,166.49,73.43,0.0002,0.1496,0.1049,0,0.8186,0.1029,240.35,-4.8172,0
BANG,NFP,18,0,177.58,145.71,96.13,0.0653,0.2303,-0.1304,0,0.8069,0.1586,238.96,-0.4561,0
BANG,NFP,24,0,0.91,156.27,87.32,0.1276,0.2756,-0.1421,0,0.7781,0.1668,232.62,-0.381,0
BANG,PWM,12,0,3.23,150.01,73.81,0.0296,0.1923,-0.0861,0,0.8498,0.1166,242.85,-1.3104,0
BANG,PWM,40,0,3.36,184.04,62.45,0.0035,0.1635,-0.0194,0,0.8487,0.0285,241.5,-5.0489,0
CARP,CFM,3,1,179.87,161.29,58.34,0,0.0929,0.0969,0.0003,1.0473,0.0797,231.94,-0.8214,0
CARP,NFP,33,1,0.87,126.12,88.59,0.0019,0.2248,0.0359,0,0.863,0.0759,235.56,-3.2189,0
CARP,NFP,35,1,178.88,182.05,114.53,0.0002,0.2102,0.1473,0.0021,0.8142,0.0138,246.2,-0.9995,0
TILA,CFM,2,2,179.12,173.06,69.29,0,0.1836,0.1444,0.003,0.8304,0.0201,233.51,1.8314,0
