spec,loc,num,aspect_ratio,hue_mean,redness_purity,brightness_mean,brown_dominance,color_cov,red_intensity,red_coverage,eye_cloudiness,shine_coverage,shine_intensity,body_color_b,species
BANG,BWM,1,0.227495908,4.97,180.28,88.26,0.0612,0.2379,0.0819,0,0.9035,0.0535,242.09,-10.5018,0
BANG,BWM,2,0.278599606,7.67,151.72,96.54,0.293,0.2543,0.0066,0,1.0628,0.0205,238.88,-12.9076,0
BANG,BWM,3,0.276639876,7.35,179.55,88.44,0.1353,0.2459,0.0282,0.0001,1.0096,0.0101,234.24,-10.3087,0
BANG,BWM,4,0.240306122,5.79,159.59,95.02,0.0926,0.2372,-0.0396,0,1.1015,0.0128,236.43,-12.3647,0
BANG,BWM,5,0.215587045,1.26,157.24,76.01,0.0199,0.2704,-0.0254,0,0.932,0.021,242.67,-8.9893,0
BANG,BWM,6,0.232724384,7.93,166.91,102.48,0.2268,0.1959,0.2626,0.0056,0.7378,0.0325,236.17,-10.9401,0
BANG,BWM,7,0.273239437,7.34,167.47,82.74,0.3162,0.27,0.6023,0.0224,0.5855,0.0172,238.54,-9.7615,0
BANG,BWM,8,0.228826531,7.06,166.68,69,0.1803,0.265,-0.0045,0,1.0669,0.0085,227.97,-10.1041,0
BANG,BWM,9,0.24005102,4,178.49,79.61,0.0569,0.1805,-0.0861,0,0.9586,0.0292,232.78,-10.555,0
BANG,BWM,10,0.268019221,6.02,168.91,130.12,0.0251,0.2257,0.096,0,0.987,0.0255,240.49,-8.3952,0
BANG,BWM,12,0.245230924,178.81,171.5,102.8,0.0014,0.2663,-0.0132,0,0.8258,0.0635,233.91,-3.8033,0
BANG,BWM,13,0.235294118,177.62,207.63,87.72,0.0004,0.19,0.0482,0,0.9213,0.0282,233.12,-2.5836,0
BANG,BWM,14,0.257612967,1.77,146.12,116.8,0.0291,0.2958,-0.0045,0,0.7542,0.0917,235.01,1.1772,0
BANG,BWM,15,0.355555556,178.22,174.25,92.59,0.001,0.251,-0.022,0,0.9317,0.0816,235.17,0.1589,0
BANG,BWM,16,0.292976424,1.64,166.27,93.59,0.0042,0.2827,-0.0344,0,0.6105,0.0813,238.34,-8.8247,0
BANG,BWM,17,0.232248521,178.86,173.06,114.02,0.0025,0.3109,-0.0048,0,0.8785,0.0532,230.75,-0.7885,0
BANG,BWM,18,0.273019802,179.03,169.78,81.32,0.0017,0.1943,0.0056,0,0.7903,0.0802,236,0.6071,0
BANG,BWM,19,0.256410256,2.61,152.55,103.44,0.0238,0.2504,0.0428,0,0.8656,0.0694,234.08,2.9801,0
BANG,BWM,20,0.28665786,179.4,159.89,143.24,0.0014,0.3208,-0.043,0,0.8996,0.0538,229.33,-0.929,0
BANG,BWM,21,0.25748503,1.1,154.9,113.62,0.0375,0.2994,0.0159,0,0.7413,0.0801,233.07,1.6843,0
BANG,BWM,22,0.282444803,9.35,167.35,107.63,0.5881,0.3456,0.1005,0,0.9032,0.0281,225.73,0.2048,0
BANG,BWM,23,0.292730845,4.2,176.57,95.42,0.0667,0.2893,0.0315,0.0001,0.9612,0.0184,224.2,-2.568,0
BANG,BWM,24,0.281307672,9.18,168.85,112.74,0.5217,0.3111,0.0319,0,0.8306,0.0226,222.9,-1.7355,0
BANG,BWM,25,0.263284379,6.82,187.92,88.28,0.2981,0.3626,0.0395,0,0.8024,0.0331,226.12,-2.2828,0
BANG,BWM,26,0.261205179,7.61,154.26,77.78,0.1604,0.2501,0.0103,0,0.8617,0.0178,218.63,-0.137,0
BANG,BWM,27,0.261044177,5.01,158.32,99.54,0.0913,0.2334,0.0356,0,0.9324,0.0196,223.15,-2.0217,0
BANG,BWM,28,0.26248366,5.53,190.18,79.6,0.0183,0.1575,0.1361,0,1.0589,0.0547,237.15,-2.5606,0
BANG,BWM,29,0.32082505,5.71,158.47,92.77,0.0711,0.2085,0.0249,0,1.0452,0.0378,227.21,-2.6036,0
BANG,BWM,30,0.274202271,5.21,178.47,86.59,0.0478,0.2288,0.0587,0,1.0545,0.0493,232.05,-2.9264,0
BANG,BWM,31,0.308185784,7.27,163.7,94.41,0.2151,0.2433,0.072,0,1.094,0.0688,234.08,-2.2459,0
BANG,CFM,1,0.327532352,179.95,111.33,94.78,0,0.2532,0.0587,0,0.8967,0.1006,234.8,0.6336,0
BANG,CFM,2,0.328165375,6.31,110.28,82.47,0.2482,0.3323,0.078,0,0.9126,0.0896,232.94,1.5332,0
BANG,CFM,3,0.407407407,0.17,126.1,57.76,0,0.154,0.0193,0,0.8614,0.0582,237.02,-1.5876,0
